lemma	sentence1	sentence2	label	answer	prompt
ongebremst	den Auto ass ongebremst an de Bam gerannt 	hie schafft mat ongebremstem Äifer un senger Dokteraarbecht 	different	falsch	"Ass d'Bedeitung vun 'ongebremst' an deenen zwee Sätz identesch? saz1: ""den Auto ass ongebremst an de Bam gerannt "" saz2: ""hie schafft mat ongebremstem Äifer un senger Dokteraarbecht """
Anung	ech hat scho laang esou eng Anung , datt hie géif friemgoen 	ech hunn esou eng Anung , wéi wann eis Noperen an d'Vakanz wieren 	identical	richteg	"Ass d'Bedeitung vun 'Anung' an deenen zwee Sätz identesch? saz1: ""ech hat scho laang esou eng Anung , datt hie géif friemgoen "" saz2: ""ech hunn esou eng Anung , wéi wann eis Noperen an d'Vakanz wieren """
Maison relais	de Gemengerot huet de Projet fir de Bau vun enger neier Maison relais eestëmmeg ugeholl 	vill Kanner ginn no der Schoul an d'Maison relais , well hir Eltere ganzdaags schaffen 	different	falsch	"Ass d'Bedeitung vun 'Maison relais' an deenen zwee Sätz identesch? saz1: ""de Gemengerot huet de Projet fir de Bau vun enger neier Maison relais eestëmmeg ugeholl "" saz2: ""vill Kanner ginn no der Schoul an d'Maison relais , well hir Eltere ganzdaags schaffen """
England	iwwer 80 % vun de Britte wunnen an England 	ech kommen aus England 	identical	richteg	"Ass d'Bedeitung vun 'England' an deenen zwee Sätz identesch? saz1: ""iwwer 80 % vun de Britte wunnen an England "" saz2: ""ech kommen aus England """
Glüwäin	kann ech zwee Glüwäi kréien, wannechgelift? 	mat wéi enge Gewierzer verfeiners du däi Glüwäin ? 	different	falsch	"Ass d'Bedeitung vun 'Glüwäin' an deenen zwee Sätz identesch? saz1: ""kann ech zwee Glüwäi kréien, wannechgelift? "" saz2: ""mat wéi enge Gewierzer verfeiners du däi Glüwäin ? """
Gas	eise Boiler ass un de Gas ugeschloss 	dréck op de Gas ! 	different	falsch	"Ass d'Bedeitung vun 'Gas' an deenen zwee Sätz identesch? saz1: ""eise Boiler ass un de Gas ugeschloss "" saz2: ""dréck op de Gas ! """
Barriär	no der Barriär geet et lénks op de Kierfecht 	ënnerwee fir heihi si mir iwwer véier Barriäre gefuer 	identical	richteg	"Ass d'Bedeitung vun 'Barriär' an deenen zwee Sätz identesch? saz1: ""no der Barriär geet et lénks op de Kierfecht "" saz2: ""ënnerwee fir heihi si mir iwwer véier Barriäre gefuer """
ofhuelen	si géif alles maachen, fir hire Kanner déi Laascht ofzehuelen 	ech kann dir deng Decisiounen net ofhuelen 	identical	richteg	"Ass d'Bedeitung vun 'ofhuelen' an deenen zwee Sätz identesch? saz1: ""si géif alles maachen, fir hire Kanner déi Laascht ofzehuelen "" saz2: ""ech kann dir deng Decisiounen net ofhuelen """
Onz	et ass keng Onz Fett un deem Kärel 	d'Gewiicht vum Gold gëtt an Onzen ausgedréckt 	different	falsch	"Ass d'Bedeitung vun 'Onz' an deenen zwee Sätz identesch? saz1: ""et ass keng Onz Fett un deem Kärel "" saz2: ""d'Gewiicht vum Gold gëtt an Onzen ausgedréckt """
Hierschtmount	fréier gouf de September och alt Heemount genannt 	dëst Joer hate mer aussergewéinlech dréchen Hierschtméint 	different	falsch	"Ass d'Bedeitung vun 'Hierschtmount' an deenen zwee Sätz identesch? saz1: ""fréier gouf de September och alt Heemount genannt "" saz2: ""dëst Joer hate mer aussergewéinlech dréchen Hierschtméint """
calméieren	calméiert Iech, et geschitt Iech näischt! 	d'Schouljoffer hat all Méi, fir d'Kanner am Haff ze calméieren 	different	falsch	"Ass d'Bedeitung vun 'calméieren' an deenen zwee Sätz identesch? saz1: ""calméiert Iech, et geschitt Iech näischt! "" saz2: ""d'Schouljoffer hat all Méi, fir d'Kanner am Haff ze calméieren """
schäissen	elo huet schonn erëm e Vull op mäin Auto geschass ! 	ech loosse mir vu kengem op d'Nues schäissen ! 	identical	richteg	"Ass d'Bedeitung vun 'schäissen' an deenen zwee Sätz identesch? saz1: ""elo huet schonn erëm e Vull op mäin Auto geschass ! "" saz2: ""ech loosse mir vu kengem op d'Nues schäissen ! """
jäizen	de Schoulmeeschter huet haut mat eis gejaut 	hien huet gejaut ewéi e Mäerder ! 	different	falsch	"Ass d'Bedeitung vun 'jäizen' an deenen zwee Sätz identesch? saz1: ""de Schoulmeeschter huet haut mat eis gejaut "" saz2: ""hien huet gejaut ewéi e Mäerder ! """
Schlëssel	no wéi engem Schlëssel gëtt de Benefice herno opgedeelt? 	du brauchs en anere Schlëssel , fir dës Schrauwen unzezéien 	different	falsch	"Ass d'Bedeitung vun 'Schlëssel' an deenen zwee Sätz identesch? saz1: ""no wéi engem Schlëssel gëtt de Benefice herno opgedeelt? "" saz2: ""du brauchs en anere Schlëssel , fir dës Schrauwen unzezéien """
hm	hm (, wat hues de gesot)? 	hm , firwat steet dann hei d'Fënster op? 	identical	richteg	"Ass d'Bedeitung vun 'hm' an deenen zwee Sätz identesch? saz1: ""hm (, wat hues de gesot)? "" saz2: ""hm , firwat steet dann hei d'Fënster op? """
entschäerfen	de Konflikt konnt duerch d'Verhandlungen entschäerft ginn 	d'Bomm gouf matzäit entschäerft 	different	falsch	"Ass d'Bedeitung vun 'entschäerfen' an deenen zwee Sätz identesch? saz1: ""de Konflikt konnt duerch d'Verhandlungen entschäerft ginn "" saz2: ""d'Bomm gouf matzäit entschäerft """
Léngt	am Park muss de däin Hond un der Léngt halen 	mir mussen hien un d'Léngt huelen 	identical	richteg	"Ass d'Bedeitung vun 'Léngt' an deenen zwee Sätz identesch? saz1: ""am Park muss de däin Hond un der Léngt halen "" saz2: ""mir mussen hien un d'Léngt huelen """
Kierzung	de Finanzminister huet Kierzunge vu staatleche Bäihëllefen ugekënnegt 	eis Firma huet fir d'Summerméint eng Kierzung vun der Aarbechtszäit ugefrot 	identical	richteg	"Ass d'Bedeitung vun 'Kierzung' an deenen zwee Sätz identesch? saz1: ""de Finanzminister huet Kierzunge vu staatleche Bäihëllefen ugekënnegt "" saz2: ""eis Firma huet fir d'Summerméint eng Kierzung vun der Aarbechtszäit ugefrot """
Pond	ech ginn nach zwee Bauerebrout vum Pond bei de Bäcker sichen 	mäin Auto kascht ëmgerechent 25.000 Pond 	different	falsch	"Ass d'Bedeitung vun 'Pond' an deenen zwee Sätz identesch? saz1: ""ech ginn nach zwee Bauerebrout vum Pond bei de Bäcker sichen "" saz2: ""mäin Auto kascht ëmgerechent 25.000 Pond """
sabotéieren	verschidde Leit probéiere stänneg, der Buergermeeschtesch hir Pläng ze sabotéieren 	am Krich gouf d'Eisebunnsstreck vu Resistenzler sabotéiert 	different	falsch	"Ass d'Bedeitung vun 'sabotéieren' an deenen zwee Sätz identesch? saz1: ""verschidde Leit probéiere stänneg, der Buergermeeschtesch hir Pläng ze sabotéieren "" saz2: ""am Krich gouf d'Eisebunnsstreck vu Resistenzler sabotéiert """
Panzer	Kanounen a Panzere gehéieren zu der Artillerie vun enger Arméi 	hie geet derduerch ewéi e Panzer 	identical	richteg	"Ass d'Bedeitung vun 'Panzer' an deenen zwee Sätz identesch? saz1: ""Kanounen a Panzere gehéieren zu der Artillerie vun enger Arméi "" saz2: ""hie geet derduerch ewéi e Panzer """
piddelen	piddel net an der Nues! 	piddel net un deem Roff, dat riskéiert, eng Entzündung ze ginn! 	identical	richteg	"Ass d'Bedeitung vun 'piddelen' an deenen zwee Sätz identesch? saz1: ""piddel net an der Nues! "" saz2: ""piddel net un deem Roff, dat riskéiert, eng Entzündung ze ginn! """
alldeeglech	ech verdroen deen alldeegleche Stress ronderëm Beruff a Stot net méi 	fir vill Leit geet näischt iwwer dat Alldeeglecht 	different	falsch	"Ass d'Bedeitung vun 'alldeeglech' an deenen zwee Sätz identesch? saz1: ""ech verdroen deen alldeegleche Stress ronderëm Beruff a Stot net méi "" saz2: ""fir vill Leit geet näischt iwwer dat Alldeeglecht """
Fasan	um Banquet gouf et als Haaptplat Fasan mat Geméis a Gratin 	wéi laang bréien d'Fasanen ? 	different	falsch	"Ass d'Bedeitung vun 'Fasan' an deenen zwee Sätz identesch? saz1: ""um Banquet gouf et als Haaptplat Fasan mat Geméis a Gratin "" saz2: ""wéi laang bréien d'Fasanen ? """
suckelen	beim Jarret suckelen ech gär d'Muerch aus der Schank 	d'Kanner hu mat engem Stréihallem de Jus aus der Fläsch gesuckelt 	identical	richteg	"Ass d'Bedeitung vun 'suckelen' an deenen zwee Sätz identesch? saz1: ""beim Jarret suckelen ech gär d'Muerch aus der Schank "" saz2: ""d'Kanner hu mat engem Stréihallem de Jus aus der Fläsch gesuckelt """
verschidden	ech muss den Owend nach verschidden E-Maile schreiwen 	mäi Papp a meng Mamm hu ganz verschidde reagéiert 	different	falsch	"Ass d'Bedeitung vun 'verschidden' an deenen zwee Sätz identesch? saz1: ""ech muss den Owend nach verschidden E-Maile schreiwen "" saz2: ""mäi Papp a meng Mamm hu ganz verschidde reagéiert """
zouklappen	d'Zeitungsfra ass laanscht, ech hunn héieren, wéi den Deckel vun der Bréifkëscht zougeklappt ass 	wann d'Täschemesser zouklappt , muss de op deng Fangeren oppassen 	identical	richteg	"Ass d'Bedeitung vun 'zouklappen' an deenen zwee Sätz identesch? saz1: ""d'Zeitungsfra ass laanscht, ech hunn héieren, wéi den Deckel vun der Bréifkëscht zougeklappt ass "" saz2: ""wann d'Täschemesser zouklappt , muss de op deng Fangeren oppassen """
hidden	déi Kanner sinn net ze hidden 	als Bouf hunn ech missen d'Kéi hidden 	identical	richteg	"Ass d'Bedeitung vun 'hidden' an deenen zwee Sätz identesch? saz1: ""déi Kanner sinn net ze hidden "" saz2: ""als Bouf hunn ech missen d'Kéi hidden """
laang	wollts du net schonn zënter Laangem däi Späicher raumen? 	deen Dag wäert ech mäi Liewe laang net vergiessen! 	identical	richteg	"Ass d'Bedeitung vun 'laang' an deenen zwee Sätz identesch? saz1: ""wollts du net schonn zënter Laangem däi Späicher raumen? "" saz2: ""deen Dag wäert ech mäi Liewe laang net vergiessen! """
Nout	d'Pianistin huet de ganze Concert ouni Noute gespillt 	hie bascht aus allen Néit 	different	falsch	"Ass d'Bedeitung vun 'Nout' an deenen zwee Sätz identesch? saz1: ""d'Pianistin huet de ganze Concert ouni Noute gespillt "" saz2: ""hie bascht aus allen Néit """
Grammatik	et steet esou a menger Grammatik 	hues de deng Grammatik geléiert? 	different	falsch	"Ass d'Bedeitung vun 'Grammatik' an deenen zwee Sätz identesch? saz1: ""et steet esou a menger Grammatik "" saz2: ""hues de deng Grammatik geléiert? """
geschwënn	bis geschwënn ! 	géi alt scho vir, ech komme geschwënn no! 	identical	richteg	"Ass d'Bedeitung vun 'geschwënn' an deenen zwee Sätz identesch? saz1: ""bis geschwënn ! "" saz2: ""géi alt scho vir, ech komme geschwënn no! """
Farce	eise Metzler mécht eng extra Farce a seng Kallefsbrëschtchen 	eis Theatertrupp féiert dëst Joer eng Farce op 	different	falsch	"Ass d'Bedeitung vun 'Farce' an deenen zwee Sätz identesch? saz1: ""eise Metzler mécht eng extra Farce a seng Kallefsbrëschtchen "" saz2: ""eis Theatertrupp féiert dëst Joer eng Farce op """
Wäin	fir e Kompromëss ze fannen, hu mer vill Waasser an eise Wäi misse schëdden 	déi ganz Pergola ass bewuess mat Wëllem Wäin 	different	falsch	"Ass d'Bedeitung vun 'Wäin' an deenen zwee Sätz identesch? saz1: ""fir e Kompromëss ze fannen, hu mer vill Waasser an eise Wäi misse schëdden "" saz2: ""déi ganz Pergola ass bewuess mat Wëllem Wäin """
Schlupp	ech hunn eng Schlupp vun dengem Wäi geholl, fir en ze schmaachen 	allkéiers, wann ech eng Schlupp drénken, verschlécken ech mech 	identical	richteg	"Ass d'Bedeitung vun 'Schlupp' an deenen zwee Sätz identesch? saz1: ""ech hunn eng Schlupp vun dengem Wäi geholl, fir en ze schmaachen "" saz2: ""allkéiers, wann ech eng Schlupp drénken, verschlécken ech mech """
oflauschteren	beim Oflauschtere krut de Kannerdokter de Verdacht, datt dee klenge Jong eng Longenentzündung hätt 	de Geheimdéngscht huet dem Verdächtege säin Telefon ofgelauschtert 	different	falsch	"Ass d'Bedeitung vun 'oflauschteren' an deenen zwee Sätz identesch? saz1: ""beim Oflauschtere krut de Kannerdokter de Verdacht, datt dee klenge Jong eng Longenentzündung hätt "" saz2: ""de Geheimdéngscht huet dem Verdächtege säin Telefon ofgelauschtert """
Schierbel	pass op, datt s de net buerbes an eng Schierbel trëppels! 	ech froe mech wierklech, wat an denger Schierbel virgeet! 	different	falsch	"Ass d'Bedeitung vun 'Schierbel' an deenen zwee Sätz identesch? saz1: ""pass op, datt s de net buerbes an eng Schierbel trëppels! "" saz2: ""ech froe mech wierklech, wat an denger Schierbel virgeet! """
schenken	Merci, datt Dir mir Är Opmierksamkeet geschenkt hutt ! 	an deem Geschäft kriss de näischt geschenkt 	different	falsch	"Ass d'Bedeitung vun 'schenken' an deenen zwee Sätz identesch? saz1: ""Merci, datt Dir mir Är Opmierksamkeet geschenkt hutt ! "" saz2: ""an deem Geschäft kriss de näischt geschenkt """
zenséieren	virun der Publikatioun si verschidde Passagen zenséiert ginn 	verschidden Zeenen aus dem Film goufen zenséiert 	identical	richteg	"Ass d'Bedeitung vun 'zenséieren' an deenen zwee Sätz identesch? saz1: ""virun der Publikatioun si verschidde Passagen zenséiert ginn "" saz2: ""verschidden Zeenen aus dem Film goufen zenséiert """
Schaffgezei	de Patron stellt senge Leit d'Schaffgezei , den Helm an d'Schong 	d'Personal an der Kiche kritt säi Schaffgezei vun enger externer Firma gewäsch 	identical	richteg	"Ass d'Bedeitung vun 'Schaffgezei' an deenen zwee Sätz identesch? saz1: ""de Patron stellt senge Leit d'Schaffgezei , den Helm an d'Schong "" saz2: ""d'Personal an der Kiche kritt säi Schaffgezei vun enger externer Firma gewäsch """
dekoréieren	den Offizéier ass vum Grand-Duc dekoréiert ginn 	d'Elteren hunn de Chrëschtbeemche mat Girlanden a Käerzen dekoréiert 	different	falsch	"Ass d'Bedeitung vun 'dekoréieren' an deenen zwee Sätz identesch? saz1: ""den Offizéier ass vum Grand-Duc dekoréiert ginn "" saz2: ""d'Elteren hunn de Chrëschtbeemche mat Girlanden a Käerzen dekoréiert """
Plaz	och wann ech mech nëmme liicht stoussen, kréien ech direkt eng blo Plaz 	et gëtt vill schéi Plaze laanscht d'Musel 	different	falsch	"Ass d'Bedeitung vun 'Plaz' an deenen zwee Sätz identesch? saz1: ""och wann ech mech nëmme liicht stoussen, kréien ech direkt eng blo Plaz "" saz2: ""et gëtt vill schéi Plaze laanscht d'Musel """
Aussesäiter	d'Lokalekipp geet als Aussesäiter an dëse Match 	déi zwee Aussesäiter hunn d'Favoritten an der Qualifikatioun eliminéiert 	identical	richteg	"Ass d'Bedeitung vun 'Aussesäiter' an deenen zwee Sätz identesch? saz1: ""d'Lokalekipp geet als Aussesäiter an dëse Match "" saz2: ""déi zwee Aussesäiter hunn d'Favoritten an der Qualifikatioun eliminéiert """
Sënn	et ass eng Sënn an eng Schan, datt déi deier Schwämm net méi profitéiert gëtt 	dat Wuert huet dräi verschidde Sënner 	different	falsch	"Ass d'Bedeitung vun 'Sënn' an deenen zwee Sätz identesch? saz1: ""et ass eng Sënn an eng Schan, datt déi deier Schwämm net méi profitéiert gëtt "" saz2: ""dat Wuert huet dräi verschidde Sënner """
Acceleratioun	de Minister wënscht sech eng Acceleratioun vum Projet 	duerch d'Acceleratioun ginn d'Leit am Fliger an de Sëtz gedréckt 	different	falsch	"Ass d'Bedeitung vun 'Acceleratioun' an deenen zwee Sätz identesch? saz1: ""de Minister wënscht sech eng Acceleratioun vum Projet "" saz2: ""duerch d'Acceleratioun ginn d'Leit am Fliger an de Sëtz gedréckt """
Fett	fir déi Zännrieder muss de dat richtegt Fett benotzen 	d'Schwäin hunn an de leschte Wochen uerdentlech Fett ugesat 	different	falsch	"Ass d'Bedeitung vun 'Fett' an deenen zwee Sätz identesch? saz1: ""fir déi Zännrieder muss de dat richtegt Fett benotzen "" saz2: ""d'Schwäin hunn an de leschte Wochen uerdentlech Fett ugesat """
kapottfueren	zéi roueg fest um Seel, et fiert net kapott ! 	d'Kand huet esou un der Pärelskette gerappt, datt se kapottgefuer ass 	identical	richteg	"Ass d'Bedeitung vun 'kapottfueren' an deenen zwee Sätz identesch? saz1: ""zéi roueg fest um Seel, et fiert net kapott ! "" saz2: ""d'Kand huet esou un der Pärelskette gerappt, datt se kapottgefuer ass """
Briet	ech si steif ewéi e Briet ! 	deen huet e Briet virum Kapp! 	identical	richteg	"Ass d'Bedeitung vun 'Briet' an deenen zwee Sätz identesch? saz1: ""ech si steif ewéi e Briet ! "" saz2: ""deen huet e Briet virum Kapp! """
Afloss	de Mound huet Afloss op d'Stréimung vum Mier 	de jonke Chauffer krut säi Fürerschäin ofgeholl, well en ënner dem Afloss vun Droge mam Auto gefuer war 	identical	richteg	"Ass d'Bedeitung vun 'Afloss' an deenen zwee Sätz identesch? saz1: ""de Mound huet Afloss op d'Stréimung vum Mier "" saz2: ""de jonke Chauffer krut säi Fürerschäin ofgeholl, well en ënner dem Afloss vun Droge mam Auto gefuer war """
kënnen	du kéints nawell Recht hunn 	huel de Prabbeli mat, et ka Ree ginn 	identical	richteg	"Ass d'Bedeitung vun 'kënnen' an deenen zwee Sätz identesch? saz1: ""du kéints nawell Recht hunn "" saz2: ""huel de Prabbeli mat, et ka Ree ginn """
Acteur	wat fir eng Acteure spillen an deem Film mat? 	eist Land muss zu engem vollwäertegen Acteur op der internationaler Bün ginn 	different	falsch	"Ass d'Bedeitung vun 'Acteur' an deenen zwee Sätz identesch? saz1: ""wat fir eng Acteure spillen an deem Film mat? "" saz2: ""eist Land muss zu engem vollwäertegen Acteur op der internationaler Bün ginn """
Kaméidi	déi zwee hunn ëmmer Kaméidi mateneen 	maach keen esou e Kaméidi wéinst där Klengegkeet! 	different	falsch	"Ass d'Bedeitung vun 'Kaméidi' an deenen zwee Sätz identesch? saz1: ""déi zwee hunn ëmmer Kaméidi mateneen "" saz2: ""maach keen esou e Kaméidi wéinst där Klengegkeet! """
festleeën	de Kommitee huet nach keen Datum fir d'Generalversammlung festgeluecht 	ech wollt mech net festleeën , bis ech all Elementer aus dem Dossier kennen 	different	falsch	"Ass d'Bedeitung vun 'festleeën' an deenen zwee Sätz identesch? saz1: ""de Kommitee huet nach keen Datum fir d'Generalversammlung festgeluecht "" saz2: ""ech wollt mech net festleeën , bis ech all Elementer aus dem Dossier kennen """
mueres	deslescht mueres war bei eis vill Niwwel 	mëttwochs owes war en nach gesond a monter, an donneschdes mueres war en dout! 	identical	richteg	"Ass d'Bedeitung vun 'mueres' an deenen zwee Sätz identesch? saz1: ""deslescht mueres war bei eis vill Niwwel "" saz2: ""mëttwochs owes war en nach gesond a monter, an donneschdes mueres war en dout! """
hongereg	nom Schwamme sinn d'Kanner ëmmer hongereg 	ech war esou hongereg , datt ech zwee Telleren Nuddele gepackt hunn 	identical	richteg	"Ass d'Bedeitung vun 'hongereg' an deenen zwee Sätz identesch? saz1: ""nom Schwamme sinn d'Kanner ëmmer hongereg "" saz2: ""ech war esou hongereg , datt ech zwee Telleren Nuddele gepackt hunn """
opraumen	den Desktop vun dengem Computer misst opgeraumt ginn 	hues de deng Kummer schonn opgeraumt ? 	identical	richteg	"Ass d'Bedeitung vun 'opraumen' an deenen zwee Sätz identesch? saz1: ""den Desktop vun dengem Computer misst opgeraumt ginn "" saz2: ""hues de deng Kummer schonn opgeraumt ? """
Realitéit	dëst ass keng Fiktioun, mee eng gängeg Realitéit 	et gëtt eng Rei Realitéiten , laanscht déi komme mer net! 	identical	richteg	"Ass d'Bedeitung vun 'Realitéit' an deenen zwee Sätz identesch? saz1: ""dëst ass keng Fiktioun, mee eng gängeg Realitéit "" saz2: ""et gëtt eng Rei Realitéiten , laanscht déi komme mer net! """
zillen	mäi Bopi zillt Kanéngercher a krut dofir schonns esou munche Präis 	mir zillen Tomaten an eiser Zär 	identical	richteg	"Ass d'Bedeitung vun 'zillen' an deenen zwee Sätz identesch? saz1: ""mäi Bopi zillt Kanéngercher a krut dofir schonns esou munche Präis "" saz2: ""mir zillen Tomaten an eiser Zär """
dramatesch	de Chômage huet dramatesch zougeholl 	dat ass net dramatesch 	identical	richteg	"Ass d'Bedeitung vun 'dramatesch' an deenen zwee Sätz identesch? saz1: ""de Chômage huet dramatesch zougeholl "" saz2: ""dat ass net dramatesch """
negativ	hal op, ëmmer esou negativ ze denken! 	hien huet bei allem eng negativ Haltung 	identical	richteg	"Ass d'Bedeitung vun 'negativ' an deenen zwee Sätz identesch? saz1: ""hal op, ëmmer esou negativ ze denken! "" saz2: ""hien huet bei allem eng negativ Haltung """
Nationalbibliothéik	d'Nationalbibliothéik ass fir den Dépôt légal zoustänneg 	weess du, wéi wäit d'Fonge vun eiser Nationalbibliothéik zeréckginn? 	identical	richteg	"Ass d'Bedeitung vun 'Nationalbibliothéik' an deenen zwee Sätz identesch? saz1: ""d'Nationalbibliothéik ass fir den Dépôt légal zoustänneg "" saz2: ""weess du, wéi wäit d'Fonge vun eiser Nationalbibliothéik zeréckginn? """
falsch	vun Zäit zu Zäit dauche falsch Geldschäiner op 	zënter sengem Accident huet dee jonke Mann falsch Zänn 	identical	richteg	"Ass d'Bedeitung vun 'falsch' an deenen zwee Sätz identesch? saz1: ""vun Zäit zu Zäit dauche falsch Geldschäiner op "" saz2: ""zënter sengem Accident huet dee jonke Mann falsch Zänn """
Decharge	de Keessjee an de Kommitee kruten d'Decharge vun der Generalversammlung 	de Beamte krut eng Decharge , fir sech weiderzebilden 	different	falsch	"Ass d'Bedeitung vun 'Decharge' an deenen zwee Sätz identesch? saz1: ""de Keessjee an de Kommitee kruten d'Decharge vun der Generalversammlung "" saz2: ""de Beamte krut eng Decharge , fir sech weiderzebilden """
mee	hien huet versicht, mech eranzeleeën, mee ech hunn en duerchkuckt 	ech drénken en Aperitif, mee ouni Äis 	identical	richteg	"Ass d'Bedeitung vun 'mee' an deenen zwee Sätz identesch? saz1: ""hien huet versicht, mech eranzeleeën, mee ech hunn en duerchkuckt "" saz2: ""ech drénken en Aperitif, mee ouni Äis """
vergoen	d'lescht Woch ass ee (bal) vergaange vun Hëtzt, haut ass et erëm äiskal 	wéi d'Kand verschwonne war, sinn d'Eltere (bal) vergaange vun Angscht 	identical	richteg	"Ass d'Bedeitung vun 'vergoen' an deenen zwee Sätz identesch? saz1: ""d'lescht Woch ass ee (bal) vergaange vun Hëtzt, haut ass et erëm äiskal "" saz2: ""wéi d'Kand verschwonne war, sinn d'Eltere (bal) vergaange vun Angscht """
ofstempelen	nodeem en e puermol gefeelt hat, war en als Lidderhanes ofgestempelt 	du kanns hien dach net als Alkoholiker ofstempelen , nëmme just well en zweemol voll war! 	identical	richteg	"Ass d'Bedeitung vun 'ofstempelen' an deenen zwee Sätz identesch? saz1: ""nodeem en e puermol gefeelt hat, war en als Lidderhanes ofgestempelt "" saz2: ""du kanns hien dach net als Alkoholiker ofstempelen , nëmme just well en zweemol voll war! """
